Eqpt_Mod
Adtran - TA1500
Adtran - TA3000
Adtran - TA3010
Adtran - TA4303
Adtran - TA604/624
Alcatel - 7300
Alcatel - 7330
Alcatel - 7342
Alcatel - 7360
EMF
GenBand - G6
GenBand - G9
Legacy - Accès
Multi
Patch panel - Cuivre
Patch panel - Optique
RTU / Software
Splitters GPON
Tellabs - LET
Tellabs - RST
Transition
Tronçon - Cuivre
Tronçon - Optique
Evertz - 7800
Legacy - Broadcast
Nimbra
Tangberg - 1260
Tangberg - RX1290
Oracle SBC 4500
Bâtis
Frame Work
Brix - Network Probe
Corrections Alarmes
Juniper - EX2200
Juniper - EX2300
Juniper - EX4300
Lantronix - SLC8000
Legacy - Gestion et alarme
MicroSemi - S600
MicroSemi - TH5550
MicroSemi - TP4100
MicroSemi - TS3550
MRV - LX4000
Westronics - WS1000
Westronics - WS3500
Netscout - PFS Switch
Alcatel - 7450
Cisco - 5501/5502
Cisco - 7609
Cisco - 9300
Cisco - 9400
Cisco - ASR920
Clean Sweep
Juniper - MX480
Juniper - MX960
Juniper - PTX10K1
Juniper - PTX10K4
Juniper - PTX5000
Juniper - T4000
Legacy - IP
MXK-319
MXK-823
NFV - Cabinet de serveurs
NNI
Nokia  - 7750
Nokia - 7950
Reliability Assessment
Serveur
VSS Network TAP
Juniper - SRX 5800
Alcatel - 7750
Juniper - MX10
Juniper - QFX5120
Cisco - FPR 4145
IneoQuest
Okeford 1500
Juniper - T1600
Cisco - ASR5000
Palo Alto PA-7000
Compresseur/Deshydrateur
Legacy - Micro Onde
Nokia - MPR9500
Atelier Energie - Gros
Atelier Energie - Moyen
Atelier Energie - Petit
Batterie - Plomb/Acide
Batterie - TEL12/180
Batterie - VRLA
BDFB
Legacy - Pouvoir
Panneau distribution DC
Redresseur
BBU
GPS
Alcatel - 1612
Ciena - 3920
Ciena - 3930
Ciena - 5410
Ciena - 5430
Ciena - 6500 CDC
Fujitsu - FW CDS
Fujitsu - FW4100
Fujitsu - FW7120
Fujitsu - FW9500
Legacy - Transport
MRV - DWDM 40Ch
Ciena - 6500
Alcatel - 7950
Juniper QFX5110
